influenced,influences,link,name
"Giovanni Treccani,Ugo Spirito,Benedetto Croce,Benito Mussolini,Giuseppe Bottai,Luigi Federzoni,Margherita Sarfatti,A. James Gregor","Marx,Plato,Giambattista Vico,Georg Wilhelm Friedrich Hegel,Vincenzo Gioberti,Antonio Rosmini-Serbati,Bertrando Spaventa,Giuseppe Mazzini,Pasquale Galluppi,Sigmund Freud,Charles Darwin,Friedrich Nietzsche,Benedetto Croce",https://en.wikipedia.org/wiki/Giovanni_Gentile,Giovanni Gentile
,,https://en.wikipedia.org/wiki/Francesco_de_Sanctis,Francesco de Sanctis
"Paul Natorp,Martin Buber,Ernst Cassirer,Leo Strauss,Peter Strawson,Henry E. Allison","Friedrich Albert Lange,Friedrich Adolf Trendelenburg",https://en.wikipedia.org/wiki/Hermann_Cohen,Hermann Cohen
List of Marxists,"Georg Wilhelm Friedrich Hegel,Ludwig Feuerbach,Max Stirner,Adam Smith,David Ricardo,Karl Marx,Jean-Jacques Rousseau,Goethe,Charles Fourier,Moses Hess,Lewis H. Morgan,Heraclitus",https://en.wikipedia.org/wiki/Friedrich_Engels,Friedrich Engels
,,https://en.wikipedia.org/wiki/Gabriel_Rockhill,Gabriel Rockhill
Raúl Alfonsín,"Karl Marx,Antonio Gramsci",https://en.wikipedia.org/wiki/Juan_Carlos_Portantiero,Juan Carlos Portantiero
,,https://en.wikipedia.org/wiki/Jitendra_Nath_Mohanty,Jitendra Nath Mohanty
"Martin Heidegger,Nicolai Hartmann,Ortega y Gasset,Martin Buber,Karol Wojtyła,Edith Stein,Dietrich von Hildebrand,Viktor Frankl","Blaise Pascal,Franz Brentano,Wilhelm Dilthey,Rudolf Eucken,Edmund Husserl,Theodor Lipps,Georg Simmel,Henri Bergson,Carl Stumpf,Friedrich Nietzsche",https://en.wikipedia.org/wiki/Max_Scheler,Max Scheler
"Hans-Georg Gadamer,Edmund Husserl,José Ortega y Gasset","Ernst Laas,Hermann Cohen",https://en.wikipedia.org/wiki/Paul_Natorp,Paul Natorp
,"German philosophy,William Ernest Hocking,George Santayana",https://en.wikipedia.org/wiki/John_Lachs,John Lachs
,,https://en.wikipedia.org/wiki/Jodi_Dean,Jodi Dean
"Tristan Garcia,Milosz Paul Rosinski (page does not exist)","Ludwig Wittgenstein,J.L. Austin,Willard Van Orman Quine",https://en.wikipedia.org/wiki/Sandra_Laugier,Sandra Laugier
,,https://en.wikipedia.org/wiki/Francis_Wolff,Francis Wolff
,,https://en.wikipedia.org/wiki/Wallace_Stevens,Wallace Stevens
,,https://en.wikipedia.org/wiki/Glenn_Gould,Glenn Gould
"Cicero,Virgil,Pierre Gassendi,Baruch Spinoza,Stephen Greenblatt,Karl Marx,Sigmund Freud,Charles Darwin,Arthur Schopenhauer,Friedrich Nietzsche,Gilles Deleuze,Montaigne","Gaius Memmius (poet),Epicurus,Socrates,Plato,Aristotle",https://en.wikipedia.org/wiki/Lucretius,Lucretius
,,https://en.wikipedia.org/wiki/Kristin_Ross,Kristin Ross
"Epicurus,Pyrrho,Lucretius,Aristotle,Montaigne,Marco Aurelio Severino,Baruch Spinoza,George Santayana,Karl Marx,Friedrich Nietzsche,Michel Onfray","Leucippus,Melissus of Samos",https://en.wikipedia.org/wiki/Democritus,Democritus
"Berlin Circle,Vienna Circle",Paul Hensel,https://en.wikipedia.org/wiki/Hans_Reichenbach,Hans Reichenbach
,"Gilles Deleuze,Michel Foucault,Jacques Ranciere",https://en.wikipedia.org/wiki/Todd_May,Todd May
,,https://en.wikipedia.org/wiki/Michael_Rea,Michael C. Rea
"Leo Strauss,Wilbur Marshall Urban,Susanne Langer","Immanuel Kant,Gottfried Wilhelm Leibniz,Hermann Cohen,Johann Wolfgang von Goethe,Friedrich Wilhelm Joseph Schelling",https://en.wikipedia.org/wiki/Ernst_Cassirer,Ernst Cassirer
Nancy Cartwright (philosopher),John Dewey,https://en.wikipedia.org/wiki/Arthur_Fine,Arthur Fine
,,https://en.wikipedia.org/wiki/Henry_E._Allison,Henry E. Allison
"David Lewis (philosopher),Ted Honderich,Colin McGinn,Arda Denkel,Ramchandra Gandhi,Martin Hollis (philosopher),Robert Hanna (philosopher) (page does not exist),Keith Donnellan,Joshua Knobe,John Searle,Pierre Bourdieu","Ludwig Wittgenstein,Immanuel Kant,J. L. Austin,Bertrand Russell,A.J. Ayer,Gilbert Ryle",https://en.wikipedia.org/wiki/Peter_Strawson,P. F. Strawson
"Slavoj Žižek,Judith Butler,Simon Critchley,Oliver Marchart (page does not exist),Yannis Stavrakakis,Aletta Norval,Íñigo Errejón","Karl Marx,Antonio Gramsci,Jorge Abelardo Ramos (page does not exist),Louis Althusser,Eric Hobsbawm,Jacques Lacan,Michel Foucault,Jacques Derrida,Ludwig Wittgenstein",https://en.wikipedia.org/wiki/Ernesto_Laclau,Ernesto Laclau
"Peter Berkowitz,Richard Kennington,Walter Berns,Seth Benardete,Allan Bloom,Joseph Cropsey,Paul Cantor,Werner Dannhauser (page does not exist),William Galston,Hans-Georg Gadamer,Pierre Manent,Harry V. Jaffa,Alexandre Kojève,Richard McKeon,Mark Lilla,Harvey C. Mansfield,Remi Brague,Thomas Pangle,Robert Pippin,Richard Rorty,Stanley Rosen,Carl Schmitt,Abram Shulsky,Muhsin Mahdi,Steven B. Smith (professor),Eric Voegelin,Sheldon Wolin,Shlomo Pines,Heinrich Meier (philosopher) (page does not exist),de:Heinrich Meier (Philosoph),Charles Butterworth (philosopher),Gershom Scholem,Francis Fukuyama,Ralph Lerner,Laurence Lampert,Steven B. Smith (professor),Ronna Burger,Catherine Zuckert,Michael Zuckert,Roger Masters,Richard Velkley,Clifford Orwin,Ernest Fortin,Liu Xiaofeng (academic),Gan Yang,Paul Wolfowitz","Socrates,Plato,Aristotle,Cicero,Al Farabi,Maimonides,Niccolò Machiavelli,Thomas Hobbes,Baruch Spinoza,Moses Mendelssohn,Gotthold Ephraim Lessing,Jean-Jacques Rousseau,Immanuel Kant,Montesquieu,Alexis de Tocqueville,Franz Rosenzweig,Jacob Klein (philosopher),Hegel,Friedrich Nietzsche,Martin Heidegger,Max Weber,Ernst Cassirer,Carl Schmitt,Eric Voegelin,Alexandre Kojève,Eliezer Paul Kraus,Gershom Scholem",https://en.wikipedia.org/wiki/Leo_Strauss,Leo Strauss
